Contract,ContractType,LinesOfCode,NumFunctionCalls,NumLoops,NumIfs,NumUnsafeBlocks,NumAnchorMacros,NumPDAs,NumCPICalls,NumStateAccounts,NumTokenAccounts,ComplexityScore,SecurityScore,VulnerabilityType,Severity,ContractCode,VulnCategory,OWASP_Category,OWASP_ID,New_Severity,Impact,Likelihood,RiskScore,num_signer_checks,num_owner_checks,num_pda_checks,num_bump_validations,num_account_checks,num_cpi_calls,num_program_checks,num_require_asserts,num_anchor_constraints,num_error_handlers,num_custom_errors,num_unsafe_blocks,num_mut_refs,num_raw_pointers,num_transfers,num_token_ops,has_proper_validation,has_proper_error_handling,is_high_risk,is_unsafe,ProcessedTimestamp,DatasetVersion
AccessControlAnchor1,Anchor,100,8,0,1,0,4,2,1,1,2,3,7,Access Control,High,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
AccessControlAnchor2,Anchor,110,7,0,2,0,5,3,2,2,1,4,6,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
AccessControlAnchor3,Anchor,95,6,1,3,0,4,2,1,1,1,3,7,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
AccessControlRaw1,Raw,80,5,0,0,0,0,1,1,1,1,2,8,Access Control,Low,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
AccessControlRaw2,Raw,85,6,1,2,0,0,1,1,1,1,3,7,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticAnchor1,Anchor,140,12,1,5,0,3,2,3,2,2,5,5,Arithmetic,Critical,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticAnchor2,Anchor,135,11,2,4,0,4,2,2,2,2,4,6,Arithmetic,High,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticRaw1,Raw,110,9,2,4,0,0,1,2,1,1,4,6,Arithmetic,High,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticRaw2,Raw,115,10,1,3,0,0,1,1,1,1,3,7,Arithmetic,Medium,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
MemorySafety1,Raw,120,7,1,3,2,0,0,1,1,0,5,4,Memory Safety,Critical,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
MemorySafety2,Raw,125,8,2,4,3,0,0,2,1,0,6,3,Memory Safety,Critical,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
MemorySafety3,Raw,115,6,1,2,1,0,0,1,1,0,4,5,Memory Safety,High,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
ReentrancyAnchor1,Anchor,150,15,2,6,0,6,4,5,3,2,7,3,Reentrancy,Critical,,Reentrancy,State Safety,SC03,High,8.0,6.0,4.8,0,0,4,0,0,5,0,0,6,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ReentrancyAnchor2,Anchor,145,14,2,5,0,5,3,4,2,2,6,4,Reentrancy,Critical,,Reentrancy,State Safety,SC03,High,8.0,6.0,4.8,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ReentrancyRaw1,Raw,130,12,2,4,0,0,2,3,2,1,5,5,Reentrancy,High,,Reentrancy,State Safety,SC03,High,8.0,6.0,4.8,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
DataRaceAnchor1,Anchor,130,10,1,4,0,4,2,3,2,1,5,5,Data Race,High,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
DataRaceAnchor2,Anchor,125,9,1,3,0,3,2,2,2,1,4,6,Data Race,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
DataRaceRaw1,Raw,110,8,1,3,0,0,1,2,1,1,3,7,Data Race,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
