Contract,ContractType,LinesOfCode,NumFunctionCalls,NumLoops,NumIfs,NumUnsafeBlocks,NumAnchorMacros,NumPDAs,NumCPICalls,NumStateAccounts,NumTokenAccounts,ComplexityScore,SecurityScore,VulnerabilityType,Severity
AccessControlAnchor1,Anchor,100,8,0,1,0,4,2,1,1,2,3,7,Access Control,High
AccessControlAnchor2,Anchor,110,7,0,2,0,5,3,2,2,1,4,6,Access Control,Medium
AccessControlAnchor3,Anchor,95,6,1,3,0,4,2,1,1,1,3,7,Access Control,Medium
AccessControlRaw1,Raw,80,5,0,0,0,0,1,1,1,1,2,8,Access Control,Low
AccessControlRaw2,Raw,85,6,1,2,0,0,1,1,1,1,3,7,Access Control,Medium
ArithmeticAnchor1,Anchor,140,12,1,5,0,3,2,3,2,2,5,5,Arithmetic,Critical
ArithmeticAnchor2,Anchor,135,11,2,4,0,4,2,2,2,2,4,6,Arithmetic,High
ArithmeticRaw1,Raw,110,9,2,4,0,0,1,2,1,1,4,6,Arithmetic,High
ArithmeticRaw2,Raw,115,10,1,3,0,0,1,1,1,1,3,7,Arithmetic,Medium
MemorySafety1,Raw,120,7,1,3,2,0,0,1,1,0,5,4,Memory Safety,Critical
MemorySafety2,Raw,125,8,2,4,3,0,0,2,1,0,6,3,Memory Safety,Critical
MemorySafety3,Raw,115,6,1,2,1,0,0,1,1,0,4,5,Memory Safety,High
ReentrancyAnchor1,Anchor,150,15,2,6,0,6,4,5,3,2,7,3,Reentrancy,Critical
ReentrancyAnchor2,Anchor,145,14,2,5,0,5,3,4,2,2,6,4,Reentrancy,Critical
ReentrancyRaw1,Raw,130,12,2,4,0,0,2,3,2,1,5,5,Reentrancy,High
DataRaceAnchor1,Anchor,130,10,1,4,0,4,2,3,2,1,5,5,Data Race,High
DataRaceAnchor2,Anchor,125,9,1,3,0,3,2,2,2,1,4,6,Data Race,Medium
DataRaceRaw1,Raw,110,8,1,3,0,0,1,2,1,1,3,7,Data Race,Medium
OverflowAnchor1,Anchor,125,11,2,5,0,5,2,2,2,2,4,6,Arithmetic Overflow,High
OverflowAnchor2,Anchor,120,10,1,4,0,4,2,2,2,2,4,6,Arithmetic Overflow,Medium
OverflowRaw1,Raw,100,8,1,3,0,0,1,1,1,1,3,7,Arithmetic Overflow,Medium
UnauthorizedDebitAnchor1,Anchor,145,13,1,7,0,7,3,4,2,3,6,4,Unauthorized Debit,Critical
UnauthorizedDebitAnchor2,Anchor,140,12,1,6,0,6,3,3,2,2,5,5,Unauthorized Debit,High
UnauthorizedDebitRaw1,Raw,120,10,1,4,0,0,2,2,1,2,4,6,Unauthorized Debit,High
PDAValidationAnchor1,Anchor,135,12,1,5,0,5,4,3,2,2,5,5,PDA Validation,High
PDAValidationAnchor2,Anchor,130,11,1,4,0,4,3,2,2,2,4,6,PDA Validation,Medium
PDAValidationRaw1,Raw,115,9,1,3,0,0,2,2,1,1,3,7,PDA Validation,Medium
TokenAccountAnchor1,Anchor,155,14,2,6,0,6,3,4,2,4,6,4,Token Account,Critical
TokenAccountAnchor2,Anchor,150,13,2,5,0,5,3,3,2,3,5,5,Token Account,High
TokenAccountRaw1,Raw,130,11,1,4,0,0,2,2,1,2,4,6,Token Account,High
CPIAnchor1,Anchor,160,15,2,7,0,7,4,6,3,2,7,3,CPI Validation,Critical
CPIAnchor2,Anchor,155,14,2,6,0,6,3,5,2,2,6,4,CPI Validation,Critical
CPIRaw1,Raw,135,12,1,5,0,0,2,4,2,1,5,5,CPI Validation,High
StateAccountAnchor1,Anchor,140,13,1,5,0,5,2,3,4,2,5,5,State Account,High
StateAccountAnchor2,Anchor,135,12,1,4,0,4,2,2,3,2,4,6,State Account,Medium
StateAccountRaw1,Raw,120,10,1,3,0,0,1,2,2,1,3,7,State Account,Medium
ConstraintAnchor1,Anchor,145,14,2,6,0,6,3,3,2,2,5,5,Constraint Validation,High
ConstraintAnchor2,Anchor,140,13,2,5,0,5,3,2,2,2,4,6,Constraint Validation,Medium
ConstraintRaw1,Raw,125,11,1,4,0,0,2,2,1,1,3,7,Constraint Validation,Medium
SerializationAnchor1,Anchor,130,12,1,5,0,5,2,2,2,1,4,6,Serialization,High
SerializationAnchor2,Anchor,125,11,1,4,0,4,2,2,2,1,4,6,Serialization,Medium
SerializationRaw1,Raw,110,9,1,3,0,0,1,1,1,1,3,7,Serialization,Medium
InitializationAnchor1,Anchor,150,14,2,6,0,6,3,3,3,2,5,5,Initialization,High
InitializationAnchor2,Anchor,145,13,2,5,0,5,3,2,2,2,4,6,Initialization,Medium
InitializationRaw1,Raw,130,11,1,4,0,0,2,2,2,1,3,7,Initialization,Medium
OwnershipAnchor1,Anchor,140,13,1,6,0,6,3,3,2,2,5,5,Ownership,High
OwnershipAnchor2,Anchor,135,12,1,5,0,5,3,2,2,2,4,6,Ownership,Medium
OwnershipRaw1,Raw,120,10,1,4,0,0,2,2,1,1,3,7,Ownership,Medium
SysvarAnchor1,Anchor,125,11,1,4,0,4,2,2,2,1,4,6,Sysvar Usage,High
SysvarAnchor2,Anchor,120,10,1,3,0,3,2,2,2,1,3,7,Sysvar Usage,Medium
SysvarRaw1,Raw,105,8,1,2,0,0,1,1,1,1,2,8,Sysvar Usage,Low
AccessControlRaw3,Raw,95,6,0,1,0,0,0,0,0,0,0,0,Access Control,Medium
AccessControlRaw4,Raw,100,7,0,2,0,0,0,0,0,0,0,0,Access Control,Medium
ArithmeticAnchor3,Anchor,130,10,1,3,0,5,0,0,0,0,0,0,Arithmetic,Medium
ArithmeticAnchor4,Anchor,125,9,1,3,0,4,0,0,0,0,0,0,Arithmetic,Medium
ArithmeticRaw3,Raw,120,11,2,5,0,0,0,0,0,0,0,0,Arithmetic,Medium
MemorySafety4,Raw,140,10,1,5,2,0,0,0,0,0,0,0,Memory Safety,Medium
MemorySafety5,Raw,115,8,1,3,2,0,0,0,0,0,0,0,Memory Safety,Medium
MemorySafety6,Raw,125,9,1,4,3,0,0,0,0,0,0,0,Memory Safety,Medium
S01_Overflow1,Raw,115,10,2,3,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium
S01_Overflow2,Raw,110,9,1,2,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium
S01_Overflow3,Raw,125,11,2,4,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium
S01_Overflow4,Raw,130,10,1,3,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium
S01_Overflow5,Raw,135,14,2,7,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium
S02_SysvarUnverified1,Anchor,132,10,0,3,0,6,0,0,0,0,0,0,Missing System Account Check,Medium
S02_SysvarUnverified2,Anchor,134,11,0,4,0,7,0,0,0,0,0,0,Missing System Account Check,Medium
S02_SysvarUnverified3,Anchor,136,12,0,5,0,8,0,0,0,0,0,0,Missing System Account Check,Medium
S02_SysvarUnverified4,Anchor,138,13,0,6,0,9,0,0,0,0,0,0,Missing System Account Check,Medium
